what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.102.v201008182136,"org.eclipse.jst.common.project.facet.core",1290793944640
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.200.v201008201800,"org.eclipse.jst.ws.jaxrs.core",1290793944658
started,bundle,org.eclipse.jgit,0.9.3,"org.eclipse.jgit",1290793945275
started,bundle,org.eclipse.egit.core,0.9.3,"org.eclipse.egit.core",1290793945432
started,bundle,org.eclipse.egit.ui,0.9.3,"org.eclipse.egit.ui",1290793945533
started,bundle,org.eclipse.wst.sse.core,1.1.502.v201008311901,"org.eclipse.wst.sse.core",1290793946273
started,bundle,org.eclipse.wst.html.core,1.1.402.v201008311901,"org.eclipse.wst.html.core",1290793946804
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.import",1290793950191
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290793950233
started,bundle,org.maven.ide.eclipse.maven_model_edit,0.12.0.20101115-1102,"org.maven.ide.eclipse.maven_model_edit",1290793951588
started,bundle,org.maven.ide.eclipse,0.12.0.20101115-1102,"org.maven.ide.eclipse",1290793951942
started,bundle,org.maven.ide.eclipse.jdt,0.12.0.20101115-1102,"org.maven.ide.eclipse.jdt",1290793951970
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290793954428
started,bundle,org.eclipse.jdt.apt.core,3.3.401.R36_v20100727-0110,"org.eclipse.jdt.apt.core",1290793956488
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290793961210
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1290793967818
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290793970095
error,log,,,"Unable to update index for central|http://repo1.maven.org/maven2",1290793973736
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1290793974089
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1290793984459
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1290793984649
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1290793984675
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1290793986428
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290793986442
error,log,,,"Variable references non-existent resource : ${workspace_loc:robocode.api/target/launch}",1290793986953
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290793987158
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290794000636
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290794003937
started,bundle,org.eclipse.equinox.p2.director,2.0.2.R36x_v20100823,"org.eclipse.equinox.p2.director",1290794048747
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.100.v20100503,"org.eclipse.equinox.p2.garbagecollector",1290794048764
started,bundle,org.eclipse.pde,3.6.1.v201009090800,"org.eclipse.pde",1290794085617
started,bundle,org.eclipse.jdt.junit.core,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit.core",1290794085674
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,2.0.0.v20100503,"org.eclipse.equinox.simpleconfigurator.manipulator",1290794085685
started,bundle,org.eclipse.equinox.frameworkadmin,2.0.0.v20100503,"org.eclipse.equinox.frameworkadmin",1290794085700
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290794097913
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290794101251
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290794102048
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290794106969
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290794144376
started,bundle,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui",1290794146248
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1290794146284
